2025-07-15 16:24:13,032 | INFO | django.server | "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
2025-07-15 16:24:13,037 | INFO | django.server | "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
2025-07-15 16:24:13,039 | INFO | django.server | "GET /static/admin/js/core.js HTTP/1.1" 200 6208
2025-07-15 16:24:13,046 | INFO | django.server | "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
2025-07-15 16:24:13,048 | INFO | django.server | "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9777
2025-07-15 16:24:13,055 | INFO | django.server | "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
2025-07-15 16:24:13,058 | INFO | django.server | "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
2025-07-15 16:24:13,072 | INFO | django.server | "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
2025-07-15 16:24:13,073 | INFO | django.server | "GET /static/admin/img/search.svg HTTP/1.1" 200 458
2025-07-15 16:24:13,082 | INFO | django.server | "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
2025-07-15 16:24:13,136 | INFO | django.server | "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
2025-07-15 16:24:13,137 | INFO | django.server | "GET /static/admin/js/filters.js HTTP/1.1" 200 978
2025-07-15 16:24:13,142 | INFO | django.server | "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
2025-07-15 16:24:13,144 | INFO | django.server | "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
2025-07-15 16:24:13,145 | INFO | django.server | "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
2025-07-15 16:24:14,530 | INFO | django.server | "GET /admin/auth/user/2/change/ HTTP/1.1" 200 22200
2025-07-15 16:24:14,560 | INFO | django.server | "GET /static/admin/css/forms.css HTTP/1.1" 200 8525
2025-07-15 16:24:14,560 | INFO | django.server | "GET /static/admin/js/calendar.js HTTP/1.1" 200 9141
2025-07-15 16:24:14,585 | INFO | django.server | "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
2025-07-15 16:24:14,589 | INFO | django.server | "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15845
2025-07-15 16:24:14,592 | INFO | django.server | "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
2025-07-15 16:24:14,593 | INFO | django.server | "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
2025-07-15 16:24:14,593 | INFO | django.server | "GET /admin/jsi18n/ HTTP/1.1" 200 3342
2025-07-15 16:24:14,609 | INFO | django.server | "GET /static/admin/css/widgets.css HTTP/1.1" 200 11991
2025-07-15 16:24:14,664 | INFO | django.server | "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
2025-07-15 16:24:14,735 | INFO | django.server | "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
2025-07-15 16:24:14,736 | INFO | django.server | "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
2025-07-15 16:24:14,736 | INFO | django.server | "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
